Dungeon_Level,Roll_Min,Roll_Max,Encounter
5,36,37,1 djinni (genie)
5,38,39,1 gibbering mouther
5,40,41,1 green hag (hag)
5,42,43,1d3 hell hounds
5,44,45,1 six-headed hydra
5,46,47,1 werebear (lycanthrope)
5,48,49,1d3 wererats (lycanthrope) and 2d4 dire rats
5,50,51,1 manticore
5,52,53,1 mummy
5,54,56,1d3 ogres
5,57,58,1 ochre jelly (ooze)
5,59,60,1 phase spider
5,61,62,1d3 rust monsters
5,63,64,1 shadow mastiff
5,65,66,1d4+1 skum
5,67,68,1d3+1 rat swarms
5,69,71,1 troll
5,72,73,1d4+1 vargouilles
5,74,76,1 wraith
5,77,78,1 yuan-ti halfblood
5,79,80,1 giant constrictor snake (animal)
5,81,82,1d3 Huge viper snakes (animal)
5,83,84,1d3 giant worker ants (vermin)
5,85,86,1d3+1 Large monstrous scorpions (vermin)
5,87,88,5th-level human monk NPC
5,89,90,5th-level kobold sorcerer NPC
5,91,100,Roll on 6th-level table
6,1,10,Roll on 5th-level table
6,11,12,1d4+2 lantern archons
6,13,14,1 gauth (beholder)
6,15,16,1d3+1 cockatrices
6,17,18,1 babau (demon)
6,19,21,1d3+1 derros
6,22,23,1 chain devil
6,24,25,1 digester
6,26,30,1d3 displacer beasts
6,31,32,1 bralani (eladrin)
6,33,36,1 ettin
6,37,38,1d3+1 formian workers
6,39,42,1d3 gargoyles
6,43,45,1d3+1 ghasts (ghoul)
6,46,48,1d4+1 gnolls and 1d3 hyenas
6,49,50,1d3+1 gricks
6,51,52,1 annis (hag)
6,53,54,1 half-dragon 4th-level fighter
6,55,56,1d3 harpies
6,57,58,1d3+1 howlers
6,59,60,1 five-headed hydra (pyro- or cryo-)
6,61,63,1 wereboar (lycanthrope) and 1d3 boars
6,64,65,1d3+1 mephits (mixed types)
6,66,67,1 average salamander
6,68,71,1d4+1 shadows
6,72,73,1d3+2 shocker lizards
6,74,75,1d3+1 locust swarms
6,76,78,1d3+1 troglodytes and 1d3 monitor lizards
6,79,80,1 will-o'-wisp
6,81,82,1 xill
6,83,84,1d3+1 minor xorns
6,85,86,1d3+1 yuan-ti purebloods
6,87,88,1d4+2 giant bombardier beetles (vermin)
6,89,90,5th-level lizardfolk druid NPC (with crocodile)
6,91,100,Roll on 7th-level table
7,1,10,Roll on 6th-level table
7,11,12,1 aboleth
7,13,14,1d4+1 carrion crawlers
7,15,16,1 chaos beast
7,17,19,1 chuul
7,20,21,1 succubus (demon)
7,22,23,1 hellcat (devil)
7,24,25,1 dire bear
7,26,28,1 young copper dragon
7,29,31,1 drider
7,32,33,1d3+1 violet fungi and 1d3+2 shriekers (fungus)
7,34,35,1d3+1 jann (genie)
7,36,38,"1 ghost, 5th-level fighter"
7,39,42,1 hill giant
7,43,45,1 flesh golem
7,46,47,1 eight-headed hydra
7,48,49,1 invisible stalker
7,50,51,1d3 weretigers (lycanthrope)
7,52,53,1d3 manticores
7,54,56,1 medusa
7,57,59,1d3+1 minotaurs
7,60,61,"1 ogre barbarian, 4th level"
7,62,63,1 black pudding (ooze)
7,64,65,1 phasm
7,66,67,1d3+2 flamebrother salamanders
7,68,69,1d3 shadow mastiffs
7,70,71,1 red slaad
7,72,74,1 spectre
7,75,76,1d3+1 centipede swarms
7,77,80,1 umber hulk
7,81,82,"1 vampire, 5th-level fighter"
7,83,84,1d4+1 wights
7,85,86,1 yuan-ti abomination
7,87,88,1 Gargantuan monstrous centipede
7,89,90,5th-level hobgoblin fighter NPC and 5th-level goblin rogue NPC
7,91,100,Roll on 8th-level table
8,1,10,Roll on 7th-level table
8,11,12,1d4+2 hound archons
8,13,14,1d4+2 barghests
8,15,17,1 behir
8,18,19,1d3 gauths (beholder)
8,20,21,1 bodak
8,22,23,1 destrachan
8,24,25,1d3+1 bearded devils
8,26,28,1 erinyes (devil)
8,29,31,1d3 bralanis (eladrin)
8,32,35,1 ettin and 1d3 brown bears (animal)
8,36,37,1 formian taskmaster and 1 dominated 5th-level human barbarian NPC
8,38,39,1 noble djinni (genie)
8,40,42,1 efreeti (genie)
8,43,44,1d3+1 ghasts (ghoul) and 2d4+1 ghouls
8,45,46,1 stone giant
8,47,48,1 gorgon
8,49,51,1 seven-headed hydra (pyro- or cryo-)
8,52,54,1 mind flayer
8,55,56,1 mohrg
8,57,58,1d3+1 mummies
8,59,60,1 dark naga
8,61,64,1 ogre mage
8,65,66,1d4+1 phase spiders
8,67,69,1 greater shadow
8,70,71,1d3 advanced megaraptor skeletons
8,72,73,1 blue slaad
8,74,75,1 hellwasp swarm
8,76,78,1d3+1 trolls
8,79,81,1d4+1 vampire spawns
8,82,83,1d3 average xorns
8,84,86,1d3+1 yuan-ti halfbloods
8,87,88,1d4+1 giant stag beetles (vermin)
8,89,90,1d3 5th-level troglodyte cleric NPCs
8,91,100,Roll on 8th-level table
